 #V_push =    1.60943791E-02
   102.483482         0.965500772           3.17388400E-03 	   1.64940798    
   102.493484         0.965517581           1.47924991E-04 	   1.64956903    
   102.503487         0.965537488           7.13925622E-03 	   1.64972997    
   102.513489         0.965595484           4.43061627E-03 	   1.64989090    
   102.523491         0.965625346           1.51016680E-03 	   1.65005195    
   102.533493         0.965659440           8.61350261E-03 	   1.65021288    
   102.543495         0.965732753           6.02120440E-03 	   1.65037394    
   102.553497         0.965779185           3.23030725E-03 	   1.65053487    
   102.563499         0.965796649           2.17769062E-04 	   1.65069580    
   102.573502         0.965817332           7.22344965E-03 	   1.65085685    
   102.583504         0.965876281           4.53009643E-03 	   1.65101779    
   102.593506         0.965907276           1.62640144E-03 	   1.65117884    
   102.603508         0.965908051           1.82101317E-03 	   1.65133977    
   102.613510         0.965910852           2.03335425E-03 	   1.65150070    
   102.623512         0.965915859           2.26483564E-03 	   1.65166175    
   102.633514         0.965923309           2.51697423E-03 	   1.65182269    
   102.643517         0.965933383           2.79139774E-03 	   1.65198362    
   102.653519         0.965946317           3.08985496E-03 	   1.65214467    
   102.663521         0.965962350           8.08883924E-05 	   1.65230560    
   102.673523         0.965981722           7.09071290E-03 	   1.65246665    
   102.683525         0.966039360           4.40213084E-03 	   1.65262759    
   102.693527         0.966069043           1.50324032E-03 	   1.65278852    
   102.703529         0.966103196           8.62985477E-03 	   1.65294957    
   102.713531         0.966176808           6.06258260E-03 	   1.65311050    
   102.723534         0.966223776           3.29874293E-03 	   1.65327144    
   102.733536         0.966242015           3.15617071E-04 	   1.65343249    
   102.743538         0.966263831           7.35286716E-03 	   1.65359342    
   102.753540         0.966324210           4.69325390E-03 	   1.65375447    
   102.763542         0.966356993           1.82638131E-03 	   1.65391541    
   102.773544         0.966359973           2.06129858E-03 	   1.65407634    
   102.783546         0.966365397           2.31721066E-03 	   1.65423739    
   102.793549         0.966373503           2.59577576E-03 	   1.65439832    
   102.803551         0.966384530           2.89877271E-03 	   1.65455937    
